@relation iots-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C11-Lfirst-last-V-weka.filters.unsupervised.instance.RemoveWithValues-S100.0-C12-Lfirst-last-V-weka.filters.unsupervised.attribute.Remove-R1-8-weka.filters.unsupervised.attribute.NumericToNominal-R1-weka.filters.unsupervised.attribute.Remove-R7-weka.filters.unsupervised.attribute.Remove-R10-14

@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute collectionf {remrecoshr,remshr,remserv,remoptishr,reminsi,remreco,locopti,reminsishr,locinsi,remopti,locally,locreco}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}

@data
0,2,2,0,1,0,2,0,0,secu,alert,locinsi,coalarm,locally,insight
1,1,-1,1,-1,1,2,0,0,refr,opauto,remshr,colight,share,nothing
0,-1,1,2,2,1,2,0,0,wash,alert,reminsi,micro,remserv,insight
0,2,0,-1,0,-1,2,0,1,alarm,preshouse,reminsishr,cohvac,share,insight
0,-1,1,-1,1,-1,2,0,0,alarm,opauto,locopti,cotv,locally,opti
0,1,-1,0,1,2,2,0,0,secu,lochouse,remrecoshr,cowash,share,reco
0,-2,0,-2,-1,1,2,0,0,tv,preshouse,remrecoshr,corefri,share,reco
0,-1,-1,-1,-1,1,2,0,1,hvac,alert,remreco,cam,remserv,reco
0,-1,-1,0,-1,-1,2,0,0,tv,opauto,locinsi,coassis,locally,insight
1,1,1,0,1,1,2,0,0,secu,lochouse,remopti,coalarm,remserv,opti
1,0,-1,0,1,1,2,0,0,wash,preshouse,remserv,micro,remserv,nothing
1,1,1,1,1,1,2,0,1,alarm,alert,locreco,cotv,locally,reco
1,1,1,1,0,1,2,0,0,assis,lochouse,locopti,colight,locally,opti
0,-3,-2,-3,-3,-1,2,0,0,light,opauto,remoptishr,watch,share,opti
0,-3,-2,-3,-3,-2,2,0,1,assis,alert,reminsishr,cosecu,share,insight
1,1,1,1,1,1,2,0,1,light,preshouse,locally,cowash,locally,nothing
0,1,-1,1,0,-1,2,0,0,refr,opauto,reminsi,locsens,remserv,insight
0,-3,0,-3,-2,-2,2,0,0,alarm,lochouse,remshr,cohvac,share,nothing
1,-1,2,1,-1,1,2,1,0,hvac,opauto,remrecoshr,coalarm,share,reco
1,1,1,0,-1,1,2,1,1,refr,lochouse,reminsishr,cotv,share,insight
1,1,1,1,2,2,2,1,1,wash,lochouse,locreco,cosecu,locally,reco
1,2,1,1,2,1,2,1,1,tv,lochouse,remreco,cowash,remserv,reco
0,-2,1,-1,-2,1,2,1,0,secu,preshouse,remoptishr,coassis,share,opti
1,1,2,0,2,2,2,1,0,hvac,preshouse,locinsi,watch,locally,insight
1,2,2,0,-1,1,2,1,0,assis,preshouse,reminsi,cohvac,remserv,insight
0,-2,1,-2,-2,2,2,1,0,alarm,opauto,remserv,colight,remserv,nothing
0,-2,0,-1,-2,1,2,1,0,light,alert,remopti,corefri,remserv,opti
1,1,1,0,0,1,2,1,0,wash,alert,remshr,locsens,share,nothing
1,2,2,2,2,2,2,1,1,secu,opauto,locally,cam,locally,nothing
1,2,2,2,2,2,2,1,0,refr,alert,locopti,micro,locally,opti
1,0,2,0,1,1,1,1,1,tv,opauto,remserv,colight,remserv,nothing
0,-3,-3,-3,-3,-3,1,1,0,alarm,opauto,locally,cam,locally,nothing
0,0,0,-1,-3,-3,1,1,0,assis,lochouse,remreco,cowash,remserv,reco
0,0,-1,-3,-3,-3,1,1,0,refr,preshouse,locinsi,watch,locally,insight
1,1,2,0,2,2,1,1,0,light,preshouse,reminsi,cohvac,remserv,insight
0,-2,0,-1,-2,-2,1,1,0,hvac,alert,remshr,locsens,share,nothing
0,-2,0,-2,-3,-2,1,1,0,secu,lochouse,reminsishr,cotv,share,insight
0,-3,-1,-3,-3,2,1,1,0,alarm,preshouse,remoptishr,coassis,share,opti
1,0,1,0,1,1,1,1,1,refr,opauto,remrecoshr,coalarm,share,reco
1,1,1,0,1,2,1,1,0,hvac,lochouse,locreco,cosecu,locally,reco
0,0,0,0,0,0,1,1,1,secu,alert,locopti,micro,locally,opti
0,0,0,0,-1,1,1,1,1,wash,alert,remopti,corefri,remserv,opti
1,2,1,2,2,0,2,0,0,light,alert,locinsi,colight,locally,insight
0,-2,2,-3,-2,-1,2,0,0,wash,preshouse,reminsishr,watch,share,insight
1,1,-1,1,0,0,2,0,0,assis,preshouse,locreco,coassis,locally,reco
0,-2,-3,-2,-3,-3,2,0,1,refr,lochouse,remserv,cam,remserv,nothing
1,-1,2,0,0,0,2,0,0,hvac,lochouse,locally,cohvac,locally,nothing
1,2,-1,2,0,-2,2,0,1,wash,opauto,locopti,cowash,locally,opti
0,-2,1,-3,-2,-1,2,0,0,secu,preshouse,remreco,locsens,remserv,reco
0,-3,1,-3,-3,-3,2,0,1,light,lochouse,remrecoshr,cosecu,share,reco
0,-3,1,-3,-3,-3,2,0,0,assis,opauto,remshr,corefri,share,nothing
0,-3,2,-3,-3,-3,2,0,0,hvac,alert,remoptishr,micro,share,opti
1,2,1,2,0,0,2,0,0,alarm,alert,reminsi,coalarm,remserv,insight
1,-1,2,0,1,1,2,0,1,tv,opauto,remopti,cotv,remserv,opti
0,0,-1,-2,-2,-1,2,1,0,tv,opauto,remserv,cosecu,remserv,nothing
0,-2,-2,-3,-2,-2,2,1,0,alarm,preshouse,remoptishr,corefri,share,opti
1,1,2,2,2,2,2,1,1,hvac,lochouse,locreco,locsens,locally,reco
1,2,2,1,1,2,2,1,0,secu,alert,locopti,cotv,locally,opti
0,-1,-1,-2,-3,-2,2,1,0,light,preshouse,reminsi,micro,remserv,insight
1,2,2,2,2,1,2,1,1,alarm,opauto,locally,coassis,locally,nothing
0,-1,0,0,-1,-1,2,1,1,secu,lochouse,reminsishr,cohvac,share,insight
1,1,0,0,1,0,2,1,0,wash,alert,remopti,cam,remserv,opti
0,0,-1,0,0,-1,2,1,0,refr,opauto,remrecoshr,cowash,share,reco
1,1,1,-1,0,1,2,1,0,hvac,alert,remshr,colight,share,nothing
0,-1,0,-1,-1,2,2,1,1,assis,lochouse,remreco,watch,remserv,reco
