@relation 'Framing0-weka.filters.unsupervised.attribute.Remove-R1-4,6-17-weka.filters.unsupervised.attribute.Reorder-R2-7,1-weka.filters.unsupervised.attribute.Remove-R3-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute decision {0,1}

@data
wash,preshouse,cowash,remserv,reco,0
assis,lochouse,coassis,locally,nothing,1
tv,opauto,cotv,locally,opti,1
hvac,alert,micro,remserv,insight,1
assis,alert,corefri,share,opti,0
wash,preshouse,watch,remserv,reco,1
refr,opauto,cam,remserv,opti,1
tv,preshouse,cohvac,share,insight,0
secu,preshouse,locsens,locally,reco,0
light,lochouse,cosecu,remserv,nothing,0
alarm,alert,coalarm,locally,insight,1
secu,opauto,colight,share,nothing,0
alarm,lochouse,cowash,share,reco,0
hvac,preshouse,micro,remserv,nothing,1
assis,opauto,coassis,locally,insight,1
assis,preshouse,corefri,share,reco,1
wash,preshouse,cowash,locally,nothing,1
wash,opauto,watch,share,opti,0
light,alert,cosecu,share,insight,0
tv,lochouse,cohvac,share,nothing,0
secu,opauto,locsens,remserv,insight,0
tv,alert,cotv,locally,reco,0
refr,alert,cam,remserv,reco,0
light,lochouse,colight,locally,opti,1
alarm,lochouse,coalarm,remserv,opti,1
tv,lochouse,cotv,locally,opti,0
assis,opauto,corefri,share,opti,0
hvac,opauto,micro,remserv,insight,0
secu,lochouse,colight,share,nothing,0
tv,alert,cohvac,share,insight,0
wash,alert,watch,remserv,reco,0
secu,alert,locsens,locally,reco,0
alarm,opauto,coalarm,locally,insight,0
light,preshouse,cosecu,remserv,nothing,0
alarm,preshouse,cowash,share,reco,0
refr,lochouse,cam,remserv,opti,0
assis,preshouse,coassis,locally,nothing,0
tv,lochouse,cam,remserv,opti,1
alarm,opauto,micro,remserv,insight,1
secu,alert,watch,remserv,reco,1
refr,preshouse,cosecu,remserv,nothing,1
assis,alert,locsens,locally,reco,1
wash,alert,cohvac,share,insight,1
hvac,preshouse,coassis,locally,nothing,1
light,preshouse,cowash,share,reco,1
light,opauto,coalarm,locally,insight,1
hvac,opauto,corefri,share,opti,0
assis,lochouse,colight,share,nothing,1
wash,lochouse,cotv,locally,opti,1
secu,alert,cam,locally,reco,1
secu,lochouse,coassis,share,nothing,0
alarm,opauto,locsens,locally,insight,1
light,preshouse,corefri,remserv,nothing,0
assis,preshouse,cotv,locally,nothing,0
tv,alert,cowash,share,insight,0
alarm,preshouse,colight,share,reco,0
assis,opauto,cohvac,share,opti,0
refr,lochouse,micro,remserv,opti,0
wash,alert,cosecu,remserv,reco,0
hvac,opauto,watch,remserv,insight,1
tv,lochouse,coalarm,locally,opti,1
light,lochouse,colight,locally,opti,0
assis,preshouse,corefri,share,reco,0
refr,alert,cam,remserv,reco,0
secu,opauto,locsens,remserv,insight,0
light,alert,cosecu,share,insight,0
tv,lochouse,cohvac,share,nothing,0
wash,preshouse,cowash,locally,nothing,0
wash,opauto,watch,share,opti,0
assis,opauto,coassis,locally,insight,0
tv,alert,cotv,locally,reco,1
hvac,preshouse,micro,remserv,nothing,0
alarm,lochouse,coalarm,remserv,opti,0
hvac,alert,cotv,locally,insight,0
wash,preshouse,coalarm,locally,reco,1
refr,opauto,coassis,locally,opti,1
secu,alert,cosecu,share,opti,0
assis,alert,cam,remserv,insight,1
tv,preshouse,micro,remserv,reco,1
hvac,lochouse,cohvac,share,reco,1
secu,lochouse,colight,locally,nothing,1
wash,opauto,cowash,share,nothing,1
refr,preshouse,corefri,share,insight,1
alarm,lochouse,watch,remserv,nothing,1
light,opauto,locsens,remserv,opti,1
alarm,preshouse,micro,share,insight,1
secu,lochouse,watch,share,reco,1
refr,preshouse,colight,locally,reco,1
hvac,opauto,coassis,remserv,opti,1
wash,alert,cotv,remserv,insight,1
light,preshouse,coalarm,remserv,reco,1
