@relation scenarioYang_new-weka.filters.unsupervised.attribute.NumericToNominal-R5

@attribute sessionId numeric
@attribute userid numeric
@attribute cond numeric
@attribute senario numeric
@attribute decision {0,1}
@attribute comfort numeric
@attribute useful numeric
@attribute risk numeric
@attribute appropriate numeric
@attribute expected numeric
@attribute default numeric
@attribute framing numeric
@attribute ask.reason numeric
@attribute who numeric
@attribute what numeric
@attribute purpose numeric
@attribute collection numeric

@data
26,69787,24,2840,0,-3,-3,-3,-3,2,0,0,1,0,10,1,11
26,69787,24,2850,0,-2,0,-3,-3,2,0,0,0,4,6,0,7
26,69787,24,2860,0,-2,-2,0,-2,2,0,0,1,7,1,2,2
26,69787,24,2870,1,0,0,-1,-1,2,0,0,0,6,0,1,1
26,69787,24,2880,0,-1,-1,-1,-1,2,0,0,1,2,4,2,5
27,20637,670,80290,0,0,-1,1,-1,1,1,2,0,6,8,3,11
27,20637,670,80300,1,0,-2,0,-2,1,1,2,1,5,7,2,10
27,20637,670,80310,1,-2,-1,-1,1,-1,1,2,0,1,3,1,6
27,20637,670,80320,1,-2,1,0,-1,1,1,2,1,7,1,3,4
27,20637,670,80330,0,0,-1,1,-1,2,1,2,0,0,2,0,5
27,20637,670,80340,0,-3,1,-1,-3,-2,1,2,0,3,9,2,0
27,20637,670,80350,0,1,1,1,1,1,1,2,1,2,4,2,7
27,20637,670,80360,1,2,2,2,2,2,1,2,0,5,11,0,2
27,20637,670,80370,0,-2,1,0,-2,-2,1,2,0,4,6,1,9
27,20637,670,80380,1,0,1,-1,1,1,1,2,0,3,5,0,8
27,20637,670,80390,1,1,0,-1,-1,2,1,2,0,6,0,1,3
27,20637,670,80400,0,-2,-2,-2,1,-1,1,2,1,4,10,3,1
28,78572,231,27610,0,-3,1,-2,-2,2,0,1,0,2,9,2,7
28,78572,231,27620,0,-1,-1,-1,0,-1,0,1,0,0,7,0,5
28,78572,231,27630,1,3,3,2,3,3,0,1,0,4,3,3,1
28,78572,231,27640,0,-1,1,-1,1,2,0,1,0,5,0,2,10
28,78572,231,27650,1,3,1,2,3,3,0,1,0,5,4,0,2
28,78572,231,27660,0,1,-3,2,1,1,0,1,1,6,5,1,3
28,78572,231,27670,1,3,1,2,2,1,0,1,1,3,2,2,0
28,78572,231,27680,0,-3,-3,-2,-2,-2,0,1,0,3,10,0,8
28,78572,231,27690,1,1,1,-1,2,2,0,1,1,4,11,1,9
28,78572,231,27700,0,-2,-1,1,1,3,0,1,0,7,6,3,4
28,78572,231,27710,1,2,1,0,-1,-2,0,1,1,1,8,1,6
28,78572,231,27720,0,-1,-2,2,1,2,0,1,0,6,1,3,11
30,92359,808,96850,0,1,-1,1,0,-1,2,0,1,7,3,0,0
30,92359,808,96860,0,1,1,1,1,0,2,0,0,1,5,2,2
30,92359,808,96870,0,0,-2,2,0,-1,2,0,1,2,6,3,3
30,92359,808,96880,0,0,-1,0,0,-2,2,0,0,3,7,1,4
30,92359,808,96890,0,-2,-2,-2,-2,-2,2,0,1,0,0,3,9
30,92359,808,96900,0,-3,-2,-3,-3,-2,2,0,0,2,2,1,11
30,92359,808,96910,1,1,1,2,2,1,2,0,0,0,4,1,1
30,92359,808,96920,1,1,1,1,1,2,2,0,1,5,9,3,6
30,92359,808,96930,0,-3,-3,-3,-3,-2,2,0,0,1,1,0,10
30,92359,808,96940,0,0,0,0,0,1,2,0,0,6,10,0,7
30,92359,808,96950,0,-2,-1,-2,-2,-1,2,0,0,7,11,2,8
30,92359,808,96960,1,2,2,1,2,2,2,0,0,4,8,2,5
31,87178,215,25690,0,-3,0,-3,-3,-3,0,1,0,0,5,2,7
31,87178,215,25700,0,-3,0,-1,-3,-3,0,1,0,6,3,0,5
31,87178,215,25710,0,-3,-3,-3,-3,-3,0,1,0,4,9,3,11
31,87178,215,25720,1,3,3,3,3,1,0,1,1,1,10,2,0
31,87178,215,25730,0,-3,0,-3,-3,-2,0,1,0,1,6,0,8
31,87178,215,25740,0,-3,-1,-1,-3,-3,0,1,1,4,1,1,3
31,87178,215,25750,0,-3,-3,-3,-3,-3,0,1,0,3,8,2,10
31,87178,215,25760,1,1,1,1,1,1,0,1,1,7,4,1,6
31,87178,215,25770,0,-3,-3,-3,-3,-3,0,1,1,2,7,1,9
31,87178,215,25780,1,-3,3,3,3,1,0,1,0,2,11,3,1
31,87178,215,25790,1,3,3,3,3,3,0,1,0,3,0,0,2
31,87178,215,25800,1,3,3,3,3,3,0,1,0,5,2,3,4
32,11306,58,6850,0,-3,1,-3,-3,-1,0,0,0,4,1,1,4
32,11306,58,6860,0,-3,0,-3,-3,-1,0,0,0,1,6,3,9
32,11306,58,6870,0,-1,-2,0,-2,-3,0,0,1,5,2,2,5
32,11306,58,6880,0,-3,2,-2,2,1,0,0,0,6,3,3,6
32,11306,58,6890,0,-3,0,-3,-3,-2,0,0,1,0,5,2,8
32,11306,58,6900,0,-1,1,-2,-2,1,0,0,0,0,9,0,0
32,11306,58,6910,0,-3,1,-3,-3,1,0,0,1,2,11,2,2
32,11306,58,6920,0,-3,-3,-3,-3,-3,0,0,1,3,8,1,11
32,11306,58,6930,0,-2,2,-2,-2,-3,0,0,0,7,4,0,7
32,11306,58,6940,0,-3,2,-3,-3,-3,0,0,0,2,7,0,10
32,11306,58,6950,0,-2,1,-3,-2,-1,0,0,0,3,0,3,3
32,11306,58,6960,0,-3,-3,-3,-3,-3,0,0,0,1,10,1,1
35,5517,415,49690,1,1,0,1,0,1,1,0,1,4,8,2,2
35,5517,415,49700,0,0,0,0,1,0,1,0,0,1,1,0,7
35,5517,415,49710,1,1,1,2,1,1,1,0,0,4,4,0,10
35,5517,415,49720,1,0,1,1,1,0,1,0,0,6,10,1,4
35,5517,415,49730,1,0,1,1,-1,-1,1,0,0,2,6,0,0
35,5517,415,49740,1,1,1,1,2,0,1,0,1,5,5,1,11
35,5517,415,49750,1,1,0,1,0,0,1,0,0,5,9,3,3
