@relation '4Cluster-weka.filters.unsupervised.attribute.NumericToNominal-R2-9-weka.filters.unsupervised.attribute.Reorder-R1-7,9,8-weka.filters.unsupervised.attribute.Remove-R4-weka.filters.unsupervised.attribute.Remove-R1'

@attribute whof {assis,tv,hvac,wash,secu,refr,light,alarm}
@attribute purposef {preshouse,lochouse,opauto,alert}
@attribute whatf {coalarm,locsens,colight,coassis,cohvac,cowash,micro,cotv,watch,corefri,cam,cosecu}
@attribute cstore {share,remserv,locally}
@attribute caction {reco,nothing,opti,insight}
@attribute cluster {cluster2,cluster3,cluster0,cluster1}
@attribute decision {0,1}

@data
light,lochouse,cotv,share,reco,cluster2,0
wash,preshouse,coassis,share,insight,cluster2,1
light,alert,micro,locally,insight,cluster2,1
hvac,lochouse,locsens,share,opti,cluster3,1
secu,opauto,cotv,remserv,reco,cluster3,1
assis,preshouse,watch,share,nothing,cluster3,1
light,alert,micro,share,reco,cluster3,1
tv,preshouse,colight,remserv,opti,cluster3,1
assis,opauto,cowash,locally,reco,cluster3,1
refr,alert,coalarm,remserv,nothing,cluster3,1
hvac,alert,cosecu,locally,nothing,cluster3,0
wash,opauto,cam,share,insight,cluster3,1
light,lochouse,cohvac,locally,insight,cluster3,1
alarm,lochouse,coassis,remserv,insight,cluster3,1
wash,preshouse,corefri,locally,opti,cluster3,1
tv,opauto,watch,share,nothing,cluster0,1
assis,alert,cohvac,locally,insight,cluster0,1
light,preshouse,cam,share,insight,cluster0,1
light,opauto,corefri,locally,opti,cluster0,1
secu,alert,coassis,remserv,insight,cluster0,1
refr,preshouse,cotv,remserv,reco,cluster0,0
assis,lochouse,micro,share,reco,cluster0,0
tv,preshouse,cowash,locally,reco,cluster0,0
hvac,lochouse,coalarm,remserv,nothing,cluster0,1
wash,alert,locsens,share,opti,cluster0,0
wash,lochouse,cosecu,locally,nothing,cluster0,0
alarm,opauto,colight,remserv,opti,cluster0,0
hvac,lochouse,cosecu,remserv,insight,cluster2,0
light,alert,cohvac,remserv,nothing,cluster2,1
tv,preshouse,locsens,locally,opti,cluster2,1
assis,alert,coalarm,locally,nothing,cluster2,1
tv,opauto,colight,share,insight,cluster2,0
alarm,alert,coassis,share,reco,cluster2,0
alarm,lochouse,cam,locally,insight,cluster2,1
wash,opauto,corefri,remserv,reco,cluster2,0
secu,preshouse,cotv,share,nothing,cluster2,0
refr,preshouse,watch,remserv,opti,cluster2,0
secu,opauto,micro,locally,reco,cluster2,1
assis,lochouse,cowash,share,opti,cluster2,0
secu,alert,colight,share,opti,cluster2,0
wash,opauto,coalarm,share,nothing,cluster2,0
tv,preshouse,cohvac,remserv,reco,cluster2,1
hvac,alert,micro,locally,insight,cluster2,1
alarm,lochouse,cowash,remserv,nothing,cluster2,0
wash,preshouse,watch,locally,reco,cluster2,1
secu,lochouse,locsens,locally,nothing,cluster2,1
