@relation 'Framing2-weka.filters.unsupervised.attribute.Remove-R1-4,6-17,20-weka.filters.unsupervised.attribute.Reorder-R2-6,1-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute whof {tv,secu,light,refr,alarm,assis,wash,hvac}
@attribute purposef {opauto,preshouse,alert,lochouse}
@attribute whatf {cosecu,cohvac,micro,coalarm,cotv,corefri,watch,coassis,cam,cowash,colight,locsens}
@attribute cstore {share,remserv,locally}
@attribute caction {insight,nothing,opti,reco}
@attribute decision {0,1}

@data
secu,opauto,cohvac,remserv,nothing,0
wash,opauto,coassis,share,reco,0
tv,preshouse,cosecu,remserv,insight,1
secu,alert,cowash,locally,opti,1
alarm,opauto,cohvac,locally,nothing,1
assis,lochouse,locsens,remserv,reco,0
refr,opauto,cosecu,share,reco,0
light,preshouse,coalarm,remserv,insight,0
hvac,alert,corefri,share,nothing,0
tv,opauto,cam,remserv,nothing,0
wash,alert,cotv,remserv,opti,0
refr,preshouse,colight,locally,insight,1
hvac,lochouse,coassis,locally,reco,1
alarm,preshouse,micro,share,opti,0
secu,lochouse,watch,share,insight,0
refr,lochouse,cotv,locally,insight,1
secu,preshouse,coassis,locally,opti,1
hvac,opauto,coalarm,locally,reco,1
assis,opauto,micro,remserv,reco,1
alarm,lochouse,cosecu,share,opti,1
wash,preshouse,locsens,remserv,opti,1
hvac,preshouse,cowash,share,nothing,1
light,lochouse,cam,remserv,insight,1
alarm,alert,colight,locally,nothing,1
refr,alert,cohvac,share,reco,1
secu,opauto,corefri,share,insight,1
tv,alert,watch,remserv,nothing,1
hvac,preshouse,watch,remserv,insight,1
tv,alert,coalarm,locally,opti,1
secu,lochouse,cam,locally,reco,1
alarm,preshouse,locsens,locally,insight,1
assis,opauto,cotv,locally,nothing,1
alarm,opauto,colight,share,reco,0
secu,alert,coassis,share,nothing,0
refr,alert,micro,remserv,opti,1
light,opauto,corefri,remserv,nothing,1
assis,preshouse,cohvac,share,opti,0
tv,lochouse,cowash,share,insight,0
wash,lochouse,cosecu,remserv,reco,0
hvac,opauto,cosecu,locally,reco,1
secu,opauto,cotv,share,insight,0
secu,preshouse,micro,locally,opti,1
refr,lochouse,watch,locally,insight,1
tv,alert,colight,remserv,nothing,1
light,lochouse,cohvac,remserv,insight,1
assis,opauto,cowash,remserv,reco,1
hvac,preshouse,locsens,share,nothing,1
refr,alert,coalarm,share,reco,1
alarm,alert,cam,locally,nothing,1
alarm,lochouse,coassis,share,opti,1
wash,preshouse,corefri,remserv,opti,1
refr,alert,watch,share,reco,0
light,lochouse,cotv,remserv,insight,1
alarm,lochouse,cam,share,opti,0
hvac,preshouse,cosecu,share,nothing,0
secu,opauto,micro,share,insight,0
tv,alert,locsens,remserv,nothing,0
assis,opauto,coalarm,remserv,reco,0
hvac,opauto,colight,locally,reco,1
wash,preshouse,coassis,remserv,opti,1
alarm,alert,corefri,locally,nothing,1
refr,lochouse,cowash,locally,insight,1
secu,preshouse,cohvac,locally,opti,1
wash,alert,cohvac,remserv,nothing,1
assis,preshouse,locsens,locally,opti,1
tv,alert,coassis,share,reco,0
alarm,preshouse,cotv,share,nothing,0
light,lochouse,cowash,share,opti,1
alarm,opauto,micro,locally,reco,1
secu,preshouse,watch,remserv,opti,1
light,alert,coalarm,locally,nothing,1
assis,opauto,colight,share,insight,1
hvac,opauto,corefri,remserv,reco,1
tv,lochouse,cam,locally,insight,0
refr,lochouse,cosecu,remserv,insight,0
refr,opauto,cam,share,insight,0
wash,preshouse,watch,share,nothing,0
alarm,alert,coalarm,remserv,nothing,1
secu,lochouse,locsens,share,opti,1
hvac,alert,micro,share,reco,1
refr,preshouse,corefri,locally,opti,1
tv,opauto,cotv,remserv,reco,1
secu,alert,cosecu,locally,nothing,1
